Date,Close,Volume
2026-01-1,-0.59,18467
2026-01-2,0.34,26500
2026-01-3,0.69,15724
2026-01-4,-0.22,29358
2026-01-5,0.62,24464
2026-01-6,0.05,28145
2026-01-7,-0.19,16827
2026-01-8,0.61,491
2026-01-9,0.95,11942
2026-01-10,-0.73,5436
2026-01-11,0.91,14604
2026-01-12,0.02,153
2026-01-13,-0.08,12382
2026-01-14,-0.79,18716
2026-01-15,0.18,19895
2026-01-16,-0.53,21726
2026-01-17,0.71,11538
2026-01-18,-0.31,19912
2026-01-19,-0.33,26299
2026-01-20,-0.65,9894
2026-01-21,0.03,23811
2026-01-22,0.22,30333
2026-01-23,-0.27,4664
2026-01-24,0.41,7711
2026-01-25,-0.47,6868
2026-01-26,0.47,27644
2026-01-27,-0.38,32757
2026-01-28,-0.63,12859
2026-01-29,0.23,9741
2026-01-30,0.29,778
2026-01-31,0.16,3035
2026-01-32,0.9,1842
2026-01-33,-0.12,30106
2026-01-34,-0.6,8942
2026-01-35,-0.36,22648
2026-01-36,-0.54,23805
2026-01-37,-0.1,6729
2026-01-38,0.7,15350
2026-01-39,-0.94,31101
2026-01-40,0.93,3548
2026-01-41,-0.71,12623
2026-01-42,-0.16,19954
2026-01-43,0.56,11840
2026-01-44,0.66,7376
2026-01-45,0.31,26308
2026-01-46,0.44,32439
2026-01-47,-0.74,11323
2026-01-48,0.37,21538
2026-01-49,0.18,2082
2026-01-50,0.29,16541
2026-01-51,-0.67,31115
2026-01-52,-0.61,29658
2026-01-53,0.04,9930
2026-01-54,0.77,2306
2026-01-55,-0.27,22386
2026-01-56,-0.79,28745
2026-01-57,0.24,19072
2026-01-58,-0.3,5829
2026-01-59,0.77,15573
2026-01-60,-0.03,16512
2026-01-61,0.86,13290
2026-01-62,0.61,18636
2026-01-63,0.55,24767
2026-01-64,-0.45,15574
2026-01-65,-0.69,12052
2026-01-66,0.5,1150
2026-01-67,0.41,21724
2026-01-68,0.66,3430
2026-01-69,0.07,30191
2026-01-70,-0.93,11337
2026-01-71,-0.43,12287
2026-01-72,0.53,10383
2026-01-73,0.45,8909
2026-01-74,-0.91,9758
2026-01-75,-0.79,18588
2026-01-76,-0.78,24946
2026-01-77,0.06,13030
2026-01-78,-0.87,29168
2026-01-79,0,32591
2026-01-80,0.62,1655
2026-01-81,-0.9,6359
2026-01-82,-0.76,20537
2026-01-83,0.48,6483
2026-01-84,0.95,4041
2026-01-85,-0.98,24350
2026-01-86,-0.09,30836
2026-01-87,0.74,11020
2026-01-88,0.96,24021
2026-01-89,0.48,23199
2026-01-90,-0.32,24484
2026-01-91,-0.19,4734
2026-01-92,-0.47,1999
2026-01-93,-0.82,27938
2026-01-94,0,3788
2026-01-95,0.27,467
2026-01-96,0.28,14893
2026-01-97,-0.52,22483
2026-01-98,-0.93,2421
2026-01-99,0.1,6617
2026-01-100,-0.87,9514
2026-01-101,0.09,7616
2026-01-102,0.35,17451
2026-01-103,-1,5249
2026-01-104,0.19,31556
2026-01-105,0.98,30303
2026-01-106,-0.76,11008
2026-01-107,-0.56,32609
2026-01-108,0.89,32702
2026-01-109,0.95,20485
2026-01-110,-0.07,14343
2026-01-111,0.23,1587
2026-01-112,0.14,9503
2026-01-113,-0.52,25200
2026-01-114,-0.42,6618
2026-01-115,0.8,19796
2026-01-116,0.98,15281
2026-01-117,0.89,20798
2026-01-118,-0.91,27157
2026-01-119,-0.28,23622
2026-01-120,0.38,12292
2026-01-121,-0.62,24179
2026-01-122,0.9,29657
2026-01-123,0.58,6191
2026-01-124,-0.85,22888
2026-01-125,0.56,11511
2026-01-126,-0.98,2634
2026-01-127,-0.28,20055
2026-01-128,0.28,22646
2026-01-129,0.62,4886
2026-01-130,-0.25,28433
2026-01-131,-0.31,20142
2026-01-132,-0.56,1416
2026-01-133,-0.19,31998
2026-01-134,0.22,18651
2026-01-135,-0.79,5699
2026-01-136,0.57,28476
2026-01-137,-0.08,24389
2026-01-138,-0.25,10712
2026-01-139,-1,2510
2026-01-140,-0.97,26869
2026-01-141,-0.39,14688
2026-01-142,-0.99,9789
2026-01-143,-0.45,16423
2026-01-144,-0.98,10585
2026-01-145,0.82,10285
2026-01-146,-0.12,31426
2026-01-147,-0.83,23757
2026-01-148,-0.68,30932
2026-01-149,0.69,2154
2026-01-150,0.21,17189
2026-01-151,0.76,31329
2026-01-152,0.68,28692
2026-01-153,-0.75,10555
2026-01-154,-0.66,16549
2026-01-155,-0.59,9512
2026-01-156,0.45,18060
2026-01-157,0.18,3753
2026-01-158,0.39,12423
2026-01-159,-0.21,25996
2026-01-160,-0.13,12529
2026-01-161,0.49,17437
2026-01-162,-0.34,12949
2026-01-163,0.93,23195
2026-01-164,-0.03,20416
2026-01-165,-0.14,16105
2026-01-166,-0.12,16282
2026-01-167,-0.45,25734
2026-01-168,0.14,11701
2026-01-169,0.16,20671
2026-01-170,0.86,12263
2026-01-171,0.13,24355
2026-01-172,0.85,20053
2026-01-173,0.12,10808
2026-01-174,-0.68,20945
2026-01-175,0.13,27756
2026-01-176,0.21,19558
2026-01-177,-0.54,27982
2026-01-178,-0.19,4144
2026-01-179,0.96,20222
2026-01-180,0.29,2161
2026-01-181,0.35,20450
2026-01-182,0.73,10466
2026-01-183,-0.56,21659
2026-01-184,-0.08,26439
2026-01-185,-0.47,20024
2026-01-186,0.54,29510
2026-01-187,0.45,20649
2026-01-188,0.86,8313
2026-01-189,-0.26,28022
2026-01-190,0.68,14018
2026-01-191,0.87,9905
2026-01-192,0.58,7391
2026-01-193,-0.98,3625
2026-01-194,-0.23,4414
2026-01-195,0.14,25824
2026-01-196,0.34,25874
2026-01-197,0.72,20159
2026-01-198,-0.67,28070
2026-01-199,-0.13,28297
2026-01-200,0.18,8177
2026-01-201,0.73,32270
2026-01-202,0.63,2668
2026-01-203,0.92,13985
2026-01-204,0.02,8480
2026-01-205,-0.87,7627
2026-01-206,-0.98,4099
2026-01-207,0.27,2625
2026-01-208,0.43,1924
2026-01-209,-0.77,29972
2026-01-210,-0.39,14181
2026-01-211,-0.97,27432
2026-01-212,0.05,27593
2026-01-213,0.25,13031
2026-01-214,-0.08,142
2026-01-215,-0.78,31286
2026-01-216,-0.36,7900
2026-01-217,0.87,8360
2026-01-218,-0.87,30974
2026-01-219,-0.3,29170
2026-01-220,-0.65,30833
2026-01-221,0.11,25760
2026-01-222,-0.04,4667
2026-01-223,-0.15,12550
2026-01-224,0.4,13694
2026-01-225,-0.05,21624
2026-01-226,-0.81,2125
2026-01-227,0.76,21694
2026-01-228,-0.42,26302
2026-01-229,0.71,22466
2026-01-230,-0.22,22593
2026-01-231,-0.49,25484
2026-01-232,-0.82,28464
2026-01-233,0.19,23152
2026-01-234,-1,18087
2026-01-235,-0.4,1926
2026-01-236,-0.9,4757
2026-01-237,0.7,20315
2026-01-238,0.76,30227
2026-01-239,-0.57,22758
2026-01-240,0.64,5109
2026-01-241,-0.18,17086
2026-01-242,0.65,3487
2026-01-243,0.77,14474
2026-01-244,-0.75,25627
2026-01-245,-0.71,31928
2026-01-246,-0.77,28520
2026-01-247,0.02,14962
2026-01-248,0.23,24596
2026-01-249,0.37,13261
2026-01-250,0.95,32525
2026-01-251,-0.36,8260
2026-01-252,-0.98,8116
2026-01-253,-0.7,20326
2026-01-254,-0.89,30771
2026-01-255,-0.89,25547
2026-01-256,0.53,21520
2026-01-257,0.9,14924
2026-01-258,0.88,21763
2026-01-259,0.4,20851
2026-01-260,-0.38,13829
2026-01-261,0,17713
2026-01-262,0.58,17578
2026-01-263,0.65,13007
2026-01-264,-0.23,1200
2026-01-265,-0.42,6439
2026-01-266,0.03,12760
2026-01-267,0.57,2324
2026-01-268,-0.23,5108
2026-01-269,0.13,14887
2026-01-270,-0.99,22850
2026-01-271,-0.4,22428
2026-01-272,0.93,27384
2026-01-273,-0.95,6540
2026-01-274,0.11,28704
2026-01-275,-0.65,32356
2026-01-276,-0.28,29350
2026-01-277,-0.77,14485
2026-01-278,0.56,23216
2026-01-279,-0.74,9357
2026-01-280,0.26,13357
2026-01-281,0.37,23271
2026-01-282,-0.31,29361
2026-01-283,-0.04,13022
2026-01-284,-0.83,10112
2026-01-285,0.17,18696
2026-01-286,0.85,24041
2026-01-287,-0.77,24129
2026-01-288,-0.71,4565
2026-01-289,0.59,8932
2026-01-290,-0.04,29855
2026-01-291,-0.47,16962
2026-01-292,0.84,29734
2026-01-293,-0.46,16972
2026-01-294,-0.43,14369
2026-01-295,0.32,2963
2026-01-296,-0.93,2483
2026-01-297,0.11,11635
2026-01-298,-0.33,22848
2026-01-299,-0.25,12938
2026-01-300,-0.77,22142
2026-01-301,0.54,6511
2026-01-302,0.41,20175
2026-01-303,-0.41,17825
2026-01-304,-0.79,17870
2026-01-305,-0.74,31934
2026-01-306,-0.95,31783
2026-01-307,-0.5,17398
2026-01-308,-0.21,22701
2026-01-309,0.93,12734
2026-01-310,-0.63,26534
2026-01-311,0.56,1993
2026-01-312,0.76,25705
2026-01-313,0.62,10548
2026-01-314,-0.19,300
2026-01-315,-0.87,16641
2026-01-316,-0.45,24855
2026-01-317,0.42,11462
2026-01-318,-0.89,30877
2026-01-319,-0.76,32678
2026-01-320,0.52,18443
2026-01-321,-0.04,12673
2026-01-322,-0.6,9313
2026-01-323,-0.25,20072
2026-01-324,-0.82,610
2026-01-325,-0.83,14932
2026-01-326,0.12,30695
2026-01-327,0.69,23831
2026-01-328,-0.6,26488
2026-01-329,-0.15,19090
2026-01-330,-0.03,2589
2026-01-331,0.9,15145
2026-01-332,0.53,19314
2026-01-333,-0.49,26740
2026-01-334,-0.56,11258
2026-01-335,0.35,8759
2026-01-336,0.92,7605
2026-01-337,-0.36,12181
2026-01-338,0.03,3829
2026-01-339,0.75,20608
2026-01-340,-0.08,5997
2026-01-341,0.49,29556
2026-01-342,0.61,31627
2026-01-343,-0.33,29541
2026-01-344,0.29,31240
2026-01-345,-0.87,29174
2026-01-346,-0.99,6077
2026-01-347,-0.85,8683
2026-01-348,-0.87,23992
2026-01-349,-0.76,5601
2026-01-350,0.92,15759
2026-01-351,-0.3,26428
2026-01-352,-0.73,4084
2026-01-353,-0.25,18786
2026-01-354,-0.02,24970
2026-01-355,-0.13,23847
2026-01-356,-0.96,503
2026-01-357,-0.79,22663
2026-01-358,0.06,2363
2026-01-359,-0.9,22171
2026-01-360,-0.11,18240
2026-01-361,0.64,25542
2026-01-362,-0.81,20913
2026-01-363,0.91,6704
2026-01-364,-0.82,9232
2026-01-365,0.5,25205
2026-01-366,0.75,1539
2026-01-367,0.03,11422
2026-01-368,-0.02,11247
2026-01-369,0.84,13648
2026-01-370,0.71,17864
2026-01-371,0.13,11075
2026-01-372,0.45,28712
2026-01-373,0.46,18678
2026-01-374,0.69,15262
2026-01-375,0.19,13985
2026-01-376,-0.11,15944
2026-01-377,-0.35,18540
2026-01-378,-0.55,25508
2026-01-379,0.18,27870
2026-01-380,-0.99,28323
2026-01-381,0.32,24472
2026-01-382,0.52,25087
2026-01-383,0.7,29763
2026-01-384,0.01,17103
2026-01-385,-0.77,3527
2026-01-386,-1,26969
2026-01-387,-0.85,5565
2026-01-388,-0.72,21543
2026-01-389,0.47,2088
2026-01-390,0.43,12637
2026-01-391,-0.91,26463
2026-01-392,-0.51,4681
2026-01-393,0.88,11342
2026-01-394,-0.92,32060
2026-01-395,-0.79,1758
2026-01-396,0.54,20888
2026-01-397,0.46,690
2026-01-398,0.49,12843
2026-01-399,-0.7,25620
2026-01-400,0.48,27067
2026-01-401,0.36,20783
2026-01-402,-0.65,32226
2026-01-403,0.85,7038
2026-01-404,-0.47,25629
2026-01-405,-0.76,15748
2026-01-406,0.23,3359
2026-01-407,-0.43,24766
2026-01-408,0.44,14955
2026-01-409,0.18,32726
2026-01-410,-0.89,21025
2026-01-411,0.55,31001
2026-01-412,0.49,9496
2026-01-413,0.84,9515
2026-01-414,0.64,23342
2026-01-415,-0.25,17913
2026-01-416,0.42,31196
2026-01-417,0.48,25072
2026-01-418,-0.74,14606
2026-01-419,0.73,24429
2026-01-420,-0.96,6705
2026-01-421,-0.74,29812
2026-01-422,0.75,30093
2026-01-423,0.65,16036
2026-01-424,0.36,29141
2026-01-425,-0.86,5994
2026-01-426,-0.44,6652
2026-01-427,0.36,30838
2026-01-428,-0.18,1355
2026-01-429,-0.85,1131
2026-01-430,-0.7,17841
2026-01-431,-0.75,2011
2026-01-432,-0.63,4186
2026-01-433,-0.1,1650
2026-01-434,-0.38,21634
2026-01-435,-0.07,10353
2026-01-436,-0.84,13452
2026-01-437,-0.92,7262
2026-01-438,-0.67,5454
2026-01-439,0.03,16634
2026-01-440,0.03,14256
2026-01-441,0.48,11124
2026-01-442,0.17,4213
2026-01-443,0.09,24028
2026-01-444,-1,21080
2026-01-445,0.18,16858
2026-01-446,-0.5,24155
2026-01-447,0.61,15264
2026-01-448,0.03,3676
2026-01-449,-0.57,26909
2026-01-450,0.02,3561
2026-01-451,-0.11,24948
2026-01-452,-0.18,13653
2026-01-453,-0.26,2220
2026-01-454,-0.98,6923
2026-01-455,-0.69,19369
2026-01-456,-0.22,20259
2026-01-457,-0.92,22619
2026-01-458,0.71,30003
2026-01-459,0.45,9781
2026-01-460,0.04,12392
2026-01-461,-0.15,25313
2026-01-462,-0.02,5589
2026-01-463,0.22,5938
2026-01-464,-0.63,6410
2026-01-465,-0.39,6234
2026-01-466,0.08,9961
2026-01-467,0.59,6493
2026-01-468,0.15,25269
2026-01-469,0.37,28869
2026-01-470,-0.42,14700
2026-01-471,0.71,26264
2026-01-472,0.17,16215
2026-01-473,0.55,7815
2026-01-474,0.3,3039
2026-01-475,-0.88,29288
2026-01-476,-0.18,1954
2026-01-477,-0.15,20710
2026-01-478,-0.16,24774
2026-01-479,0.8,29815
2026-01-480,0.51,6541
2026-01-481,0.15,1679
2026-01-482,0.1,25898
2026-01-483,-0.27,788
2026-01-484,0.77,18132
2026-01-485,0.56,28689
2026-01-486,0.13,10008
2026-01-487,0.41,15790
2026-01-488,0.23,21363
2026-01-489,-0.72,25184
2026-01-490,0.78,7200
2026-01-491,-0.29,1885
2026-01-492,0.74,1071
2026-01-493,0.33,22867
2026-01-494,0.53,14295
2026-01-495,0.68,20825
2026-01-496,-0.24,15629
2026-01-497,-0.5,2598
2026-01-498,0.09,4693
2026-01-499,-0.14,30080
2026-01-500,0.16,12249
2026-01-501,-0.33,1528
2026-01-502,-0.21,7864
2026-01-503,-0.79,8405
2026-01-504,-0.74,6816
2026-01-505,0.16,27726
2026-01-506,-0.34,29087
2026-01-507,-0.19,19964
2026-01-508,0.4,5686
2026-01-509,-0.79,11662
2026-01-510,0.21,6064
2026-01-511,0.09,20415
2026-01-512,0.02,29873
2026-01-513,0.24,23941
2026-01-514,0.45,31762
2026-01-515,-0.77,27531
2026-01-516,-0.94,12268
2026-01-517,0.18,5602
2026-01-518,0.07,24307
2026-01-519,-0.19,1012
2026-01-520,0.36,26630
2026-01-521,0.14,26809
2026-01-522,-0.16,23556
2026-01-523,-0.1,21293
2026-01-524,0.96,29152
2026-01-525,-0.46,25345
2026-01-526,0.08,248
2026-01-527,-0.09,13712
2026-01-528,0.31,30114
2026-01-529,-0.61,7958
2026-01-530,0.22,29704
2026-01-531,0.95,1052
2026-01-532,-0.31,7479
2026-01-533,-0.62,26423
2026-01-534,0.18,10866
2026-01-535,-0.41,32498
2026-01-536,-0.14,21196
2026-01-537,-0.38,26633
2026-01-538,0.58,12022
2026-01-539,0.46,18392
2026-01-540,-0.63,3925
2026-01-541,-0.53,29458
2026-01-542,-0.98,30807
2026-01-543,-0.02,27830
2026-01-544,-0.08,14600
2026-01-545,-0.22,20799
2026-01-546,0.52,20448
2026-01-547,-0.18,540
2026-01-548,0.15,4575
2026-01-549,0.62,9567
2026-01-550,0.36,18397
2026-01-551,-0.82,19897
2026-01-552,-0.72,13851
2026-01-553,-0.84,24230
2026-01-554,-0.51,16925
2026-01-555,-0.42,229
2026-01-556,0.2,10940
2026-01-557,0.6,15147
2026-01-558,0.62,1655
2026-01-559,-0.25,792
2026-01-560,0.61,31754
2026-01-561,0.98,23146
2026-01-562,0.14,26946
2026-01-563,0.88,19569
2026-01-564,-0.62,27663
2026-01-565,-0.25,24515
2026-01-566,0.21,475
2026-01-567,-0.85,20528
2026-01-568,-0.66,12570
2026-01-569,0.05,9464
2026-01-570,0.57,28962
2026-01-571,0.61,30524
2026-01-572,0.49,17469
2026-01-573,0.3,31923
2026-01-574,0.5,14333
2026-01-575,0.25,10910
2026-01-576,0.37,16336
2026-01-577,0.37,1278
2026-01-578,0.93,7636
2026-01-579,0.14,28164
2026-01-580,0.91,19949
2026-01-581,0.35,2505
2026-01-582,0.37,10004
2026-01-583,0.37,2623
2026-01-584,-0.36,9970
2026-01-585,-0.92,30568
2026-01-586,-0.19,7085
2026-01-587,0.52,18373
2026-01-588,-0.48,8194
2026-01-589,-0.24,23826
2026-01-590,0.96,7572
2026-01-591,-0.51,14640
2026-01-592,0.74,18819
2026-01-593,0.43,32611
2026-01-594,0.41,20289
2026-01-595,-0.81,5565
2026-01-596,-0.95,7585
2026-01-597,-0.84,31450
2026-01-598,-0.85,2609
2026-01-599,-0.36,9166
2026-01-600,-0.07,16074
2026-01-601,0.09,30300
2026-01-602,-0.05,9573
2026-01-603,0.89,13161
2026-01-604,0.72,17968
2026-01-605,0.58,26031
2026-01-606,-0.32,19426
2026-01-607,0.1,10422
2026-01-608,0.74,8779
2026-01-609,0.1,23552
2026-01-610,0.82,25391
2026-01-611,-0.05,5764
2026-01-612,-0.26,1364
2026-01-613,0.02,28255
2026-01-614,-0.4,474
2026-01-615,0.72,26821
2026-01-616,0.22,25547
2026-01-617,0.77,9789
2026-01-618,-0.95,30195
2026-01-619,0.94,7950
2026-01-620,0.43,754
2026-01-621,-0.19,1012
2026-01-622,-0.28,23439
2026-01-623,-0.72,5912
2026-01-624,0.62,5967
2026-01-625,-0.92,4415
2026-01-626,0.08,17223
2026-01-627,0.59,26434
2026-01-628,-0.96,29486
2026-01-629,0.19,958
2026-01-630,0.45,26806
2026-01-631,0.66,18700
2026-01-632,0.67,17692
2026-01-633,0.87,28532
2026-01-634,0.56,30974
2026-01-635,-0.53,5021
2026-01-636,-0.17,26222
2026-01-637,0.31,2376
2026-01-638,0.83,26948
2026-01-639,0.23,17982
2026-01-640,-0.82,14776
2026-01-641,-0.8,31111
2026-01-642,0.82,23856
2026-01-643,-0.1,8925
2026-01-644,0.24,6486
2026-01-645,-0.23,15969
2026-01-646,-0.57,7534
2026-01-647,-0.23,22668
2026-01-648,-0.32,21991
2026-01-649,0.96,7783
2026-01-650,-0.72,7727
2026-01-651,-0.74,15871
2026-01-652,-0.03,17612
2026-01-653,0.03,11027
2026-01-654,-0.92,5545
2026-01-655,0.08,7185
2026-01-656,-0.62,24237
2026-01-657,-0.57,21313
2026-01-658,0.01,8850
2026-01-659,0.28,2111
2026-01-660,-0.5,28149
2026-01-661,0.92,1454
2026-01-662,-0.31,681
2026-01-663,-0.35,20267
2026-01-664,0.13,19793
2026-01-665,-0.66,25472
2026-01-666,0.72,22830
2026-01-667,0.01,28442
2026-01-668,0.77,13877
2026-01-669,0.7,702
2026-01-670,0.64,1381
2026-01-671,0.9,8823
2026-01-672,-0.63,8023
2026-01-673,0.79,16595
2026-01-674,0.69,2327
2026-01-675,-0.58,31310
2026-01-676,0.82,11058
2026-01-677,0.26,9487
2026-01-678,-0.3,32528
2026-01-679,-0.49,2258
2026-01-680,-0.87,9860
2026-01-681,0.83,21286
2026-01-682,0.42,8610
2026-01-683,-0.28,7128
2026-01-684,-0.66,5841
2026-01-685,0.18,3503
2026-01-686,-0.33,24865
2026-01-687,0.38,1881
2026-01-688,-0.43,22750
2026-01-689,-0.86,18598
2026-01-690,-0.42,2661
2026-01-691,-0.37,32756
2026-01-692,-0.93,20278
2026-01-693,-0.11,19435
2026-01-694,0.65,32075
2026-01-695,0.86,1386
2026-01-696,-0.67,8360
2026-01-697,0.3,26048
2026-01-698,0.28,29492
2026-01-699,-0.67,23840
2026-01-700,0.66,1735
2026-01-701,-0.9,11599
2026-01-702,-0.63,21892
2026-01-703,0.82,7328
2026-01-704,0.52,11369
2026-01-705,-0.56,21794
2026-01-706,-0.92,9252
2026-01-707,-0.53,17432
2026-01-708,0.35,7208
2026-01-709,-0.36,3497
2026-01-710,-0.57,27649
2026-01-711,-0.85,26841
2026-01-712,0.89,16100
2026-01-713,-0.88,30648
2026-01-714,0.23,19851
2026-01-715,-0.26,28633
2026-01-716,-0.09,27200
2026-01-717,-0.46,9990
2026-01-718,-0.03,4919
2026-01-719,0.8,22578
2026-01-720,0.31,32544
2026-01-721,0.4,13487
2026-01-722,-0.01,22525
2026-01-723,-0.17,5538
2026-01-724,-0.08,6193
2026-01-725,-0.48,25011
2026-01-726,0.6,15834
2026-01-727,-0.6,31497
2026-01-728,0.85,18529
2026-01-729,0.4,18805
2026-01-730,0.91,13392
2026-01-731,-0.9,13549
2026-01-732,0.78,26979
2026-01-733,0.71,9277
2026-01-734,-0.27,20193
2026-01-735,-0.8,21497
2026-01-736,-0.74,31276
2026-01-737,0.9,6582
2026-01-738,0.78,11159
2026-01-739,-0.82,26489
2026-01-740,0.59,3449
2026-01-741,0.24,9072
2026-01-742,0.8,27008
2026-01-743,0.67,10208
2026-01-744,-0.23,18503
2026-01-745,0.7,32607
2026-01-746,0.96,12074
2026-01-747,0.22,12611
2026-01-748,-0.81,28761
2026-01-749,-0.44,12890
2026-01-750,0.63,16683
2026-01-751,0.16,19932
2026-01-752,-0.48,2741
2026-01-753,0.54,6813
2026-01-754,-0.38,10396
2026-01-755,-0.4,20615
2026-01-756,0.04,2599
2026-01-757,0.36,4680
2026-01-758,0.98,27032
2026-01-759,0.87,32584
2026-01-760,-0.6,3517
2026-01-761,-0.94,8670
2026-01-762,-0.59,18882
2026-01-763,-0.51,3523
2026-01-764,0.58,12105
