Date,Close,Volume
2026-04-01,100.00,500000
2026-04-02,102.50,510000
2026-04-03,105.00,490000
2026-04-04,104.00,520000
2026-04-05,108.00,600000
2026-04-06,112.30,750000
2026-04-07,115.50,800000
2026-04-08,110.20,950000
2026-04-09,105.00,1100000
2026-04-10,95.00,1500000
2026-04-11,88.40,2000000
2026-04-12,82.10,1800000
2026-04-13,85.50,1200000
2026-04-14,88.00,900000
2026-04-15,92.30,850000
2026-04-16,95.00,700000
2026-04-17,98.20,650000
2026-04-18,102.50,800000
2026-04-19,105.00,850000
2026-04-20,110.40,950000
2026-04-21,115.00,1100000
2026-04-22,118.50,1300000
2026-04-23,120.00,1000000
2026-04-24,118.20,900000
2026-04-25,115.50,850000
2026-04-26,112.00,750000
2026-04-27,110.00,700000
2026-04-28,108.50,650000
2026-04-29,112.20,800000
2026-04-30,115.00,950000
